"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pbt","ING2E5B_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Fermentimonas caenicola"
"pbt","ING2E5B_0004","K03470","rnhB","ribonuclease HII","0.0093","0.1015","Fermentimonas caenicola"
"pbt","ING2E5B_0005","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Fermentimonas caenicola"
"pbt","ING2E5B_0008","K14222","tRNA-Cys","tRNA Cys","0.0000 ","0.2024","Fermentimonas caenicola"
"pbt","ING2E5B_0010","K00939","adk, AK","adenylate kinase","0.8789","0.7609","Fermentimonas caenicola"
"pbt","ING2E5B_0017","K11753","ribF","riboflavin kinase / FMN adenylyltransferase","0.6293","0.5031","Fermentimonas caenicola"
"pbt","ING2E5B_0019","K12373","HEXA_B","hexosaminidase","0.0031","0.0048","Fermentimonas caenicola"
"pbt","ING2E5B_0020","K02897","RP-L25, rplY","large subunit ribosomal protein L25","0.0966","0.3652","Fermentimonas caenicola"
"pbt","ING2E5B_0023","K05979","comB","2-phosphosulfolactate phosphatase","0.0060","0.0010","Fermentimonas caenicola"
"pbt","ING2E5B_0026","K01627","kdsA","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)","0.2898","0.2015","Fermentimonas caenicola"
"pbt","ING2E5B_0028","K00928","lysC","aspartate kinase","0.3479","0.4527","Fermentimonas caenicola"
"pbt","ING2E5B_0031","K00566","mnmA, trmU","tRNA-uridine 2-sulfurtransferase","0.5166","0.3627","Fermentimonas caenicola"
"pbt","ING2E5B_0032","K07462","recJ","single-stranded-DNA-specific exonuclease","0.0042","0.0324","Fermentimonas caenicola"
"pbt","ING2E5B_0033","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Fermentimonas caenicola"
"pbt","ING2E5B_0037","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Fermentimonas caenicola"
"pbt","ING2E5B_0045","K02871","RP-L13, MRPL13, rplM","large subunit ribosomal protein L13","0.7119","0.6883","Fermentimonas caenicola"
"pbt","ING2E5B_0046","K02996","RP-S9, MRPS9, rpsI","small subunit ribosomal protein S9","0.5166","0.6003","Fermentimonas caenicola"
"pbt","ING2E5B_0047","K02967","RP-S2, MRPS2, rpsB","small subunit ribosomal protein S2","0.4440","0.5564","Fermentimonas caenicola"
"pbt","ING2E5B_0051","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Fermentimonas caenicola"
"pbt","ING2E5B_0054","K04066","priA","primosomal protein N (replication factor Y) (superfamily II helicase)","0.1039","0.1241","Fermentimonas caenicola"
"pbt","ING2E5B_0056","K00240","sdhB, frdB","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","0.2338","0.2373","Fermentimonas caenicola"
"pbt","ING2E5B_0057","K00239","sdhA, frdA","succinate dehydrogenase / fumarate reductase, flavoprotein subunit","0.2684","0.2219","Fermentimonas caenicola"
