"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"ppk","U875_00025","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Pandoraea pnomenusa 3kgm"
"ppk","U875_00045","K14236","tRNA-Tyr","tRNA Tyr","0.0000 ","0.2024","Pandoraea pnomenusa 3kgm"
"ppk","U875_00050","K14225","tRNA-Gly","tRNA Gly","0.0000 ","0.2024","Pandoraea pnomenusa 3kgm"
"ppk","U875_00055","K14234","tRNA-Thr","tRNA Thr","0.0060","0.2024","Pandoraea pnomenusa 3kgm"
"ppk","U875_00065","K14235","tRNA-Trp","tRNA Trp","0.0060","0.2024","Pandoraea pnomenusa 3kgm"
"ppk","U875_00070","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Pandoraea pnomenusa 3kgm"
"ppk","U875_00080","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Pandoraea pnomenusa 3kgm"
"ppk","U875_00085","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Pandoraea pnomenusa 3kgm"
"ppk","U875_00090","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Pandoraea pnomenusa 3kgm"
"ppk","U875_00095","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Pandoraea pnomenusa 3kgm"
"ppk","U875_00100","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Pandoraea pnomenusa 3kgm"
"ppk","U875_00105","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Pandoraea pnomenusa 3kgm"
"ppk","U875_00120","K02509","hpaH","2-oxo-hept-3-ene-1,7-dioate hydratase","0.0000 ","0.0000 ","Pandoraea pnomenusa 3kgm"
"ppk","U875_00125","K02510","hpaI, hpcH","4-hydroxy-2-oxoheptanedioate aldolase","0.0000 ","0.0000 ","Pandoraea pnomenusa 3kgm"
"ppk","U875_00130","K00151","hpaE, hpcC","5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase","0.0000 ","0.0043","Pandoraea pnomenusa 3kgm"
"ppk","U875_00140","K05921","hpaG","5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase","0.0000 ","0.0002","Pandoraea pnomenusa 3kgm"
"ppk","U875_00145","K00077","panE, apbA","2-dehydropantoate 2-reductase","0.0526","0.2248","Pandoraea pnomenusa 3kgm"
