"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"hpu","HPCU_00010","K00794","ribH, RIB4","6,7-dimethyl-8-ribityllumazine synthase","0.2177","0.2963","Helicobacter pylori Cuz20"
"hpu","HPCU_00015","K01627","kdsA","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)","0.2898","0.2015","Helicobacter pylori Cuz20"
"hpu","HPCU_00020","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Helicobacter pylori Cuz20"
"hpu","HPCU_00025","K01591","pyrF","orotidine-5-phosphate decarboxylase","0.0665","0.1970","Helicobacter pylori Cuz20"
"hpu","HPCU_00030","K01918","panC","pantoate--beta-alanine ligase","0.2338","0.2517","Helicobacter pylori Cuz20"
"hpu","HPCU_00040","K04077","groEL, HSPD1","chaperonin GroEL","0.4440","0.5638","Helicobacter pylori Cuz20"
"hpu","HPCU_00050","K02316","dnaG","DNA primase","0.3877","0.2987","Helicobacter pylori Cuz20"
"hpu","HPCU_00055","K00566","mnmA, trmU","tRNA-uridine 2-sulfurtransferase","0.5166","0.3627","Helicobacter pylori Cuz20"
"hpu","HPCU_00085","K03415","cheV","two-component system, chemotaxis family, response regulator CheV","0.0000 ","0.0032","Helicobacter pylori Cuz20"
"hpu","HPCU_00090","K13747","nspC","carboxynorspermidine decarboxylase","0.0039","0.0391","Helicobacter pylori Cuz20"
"hpu","HPCU_00100","K03760","eptA, pmrC","lipid A ethanolaminephosphotransferase","0.0000 ","0.0043","Helicobacter pylori Cuz20"
"hpu","HPCU_00115","K01647","CS, gltA","citrate synthase","0.2338","0.2171","Helicobacter pylori Cuz20"
"hpu","HPCU_00120","K00031","IDH1, IDH2, icd","isocitrate dehydrogenase","0.1443","0.2055","Helicobacter pylori Cuz20"
"hpu","HPCU_00130","K01935","bioD","dethiobiotin synthetase","0.0414","0.1142","Helicobacter pylori Cuz20"
"hpu","HPCU_00155","K01579","panD","aspartate 1-decarboxylase","0.1399","0.1934","Helicobacter pylori Cuz20"
"hpu","HPCU_00190","K00971","manC, cpsB","mannose-1-phosphate guanylyltransferase","0.0180","0.0457","Helicobacter pylori Cuz20"
"hpu","HPCU_00195","K01711","gmd, GMDS","GDPmannose 4,6-dehydratase","0.0067","0.0349","Helicobacter pylori Cuz20"
"hpu","HPCU_00200","K02377","TSTA3, fcl","GDP-L-fucose synthase","0.0091","0.0281","Helicobacter pylori Cuz20"
"hpu","HPCU_00225","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Helicobacter pylori Cuz20"
"hpu","HPCU_00265","K13821","putA","RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase","0.0750","0.0820","Helicobacter pylori Cuz20"
"hpu","HPCU_00330","K01428","ureC","urease subunit alpha","0.0022","0.0055","Helicobacter pylori Cuz20"
"hpu","HPCU_00335","K14048","ureAB","urease subunit gamma/beta","0.0071","0.0029","Helicobacter pylori Cuz20"
"hpu","HPCU_00340","K03101","lspA","signal peptidase II","0.2338","0.2223","Helicobacter pylori Cuz20"
"hpu","HPCU_00345","K03431","glmM","phosphoglucosamine mutase","0.6398","0.1673","Helicobacter pylori Cuz20"
"hpu","HPCU_00350","K02968","RP-S20, rpsT","small subunit ribosomal protein S20","0.2265","0.4557","Helicobacter pylori Cuz20"
"hpu","HPCU_00375","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Helicobacter pylori Cuz20"
"hpu","HPCU_00380","K02996","RP-S9, MRPS9, rpsI","small subunit ribosomal protein S9","0.5166","0.6003","Helicobacter pylori Cuz20"
"hpu","HPCU_00385","K02871","RP-L13, MRPL13, rplM","large subunit ribosomal protein L13","0.7119","0.6883","Helicobacter pylori Cuz20"
"hpu","HPCU_00395","K00116","mqo","malate dehydrogenase (quinone)","0.0770","0.0452","Helicobacter pylori Cuz20"
"hpu","HPCU_00410","K18284","K18284","adenosylhomocysteine/aminodeoxyfutalosine nucleosidase","0.0987","0.0377","Helicobacter pylori Cuz20"
"hpu","HPCU_00415","K00645","fabD","[acyl-carrier-protein] S-malonyltransferase","0.7026","0.4710","Helicobacter pylori Cuz20"
"hpu","HPCU_00460","K01733","thrC","threonine synthase","0.1110","0.1922","Helicobacter pylori Cuz20"
"hpu","HPCU_00465","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Helicobacter pylori Cuz20"
"hpu","HPCU_00485","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Helicobacter pylori Cuz20"
"hpu","HPCU_00490","K01119","cpdB","2,3-cyclic-nucleotide 2-phosphodiesterase / 3-nucleotidase","0.0017","0.2566","Helicobacter pylori Cuz20"
"hpu","HPCU_00495","K07173","luxS","S-ribosylhomocysteine lyase","0.0000 ","0.0000 ","Helicobacter pylori Cuz20"
"hpu","HPCU_00500","K01760","metC","cystathionine beta-lyase","0.3447","0.2232","Helicobacter pylori Cuz20"
"hpu","HPCU_00505","K01738","cysK","cysteine synthase A","0.0899","0.1017","Helicobacter pylori Cuz20"
"hpu","HPCU_00515","K04043","dnaK","molecular chaperone DnaK","0.3525","0.3257","Helicobacter pylori Cuz20"
"hpu","HPCU_00530","K01628","fucA","L-fuculose-phosphate aldolase","0.0000 ","0.0002","Helicobacter pylori Cuz20"
"hpu","HPCU_00545","K02406","fliC","flagellin","0.0016","0.0097","Helicobacter pylori Cuz20"
"hpu","HPCU_00565","K01007","pps, ppsA","pyruvate, water dikinase","0.4013","0.4084","Helicobacter pylori Cuz20"
"hpu","HPCU_00575","K01868","TARS, thrS","threonyl-tRNA synthetase","0.6103","0.5347","Helicobacter pylori Cuz20"
"hpu","HPCU_00585","K02916","RP-L35, MRPL35, rpmI","large subunit ribosomal protein L35","0.3752","0.5158","Helicobacter pylori Cuz20"
"hpu","HPCU_00590","K02887","RP-L20, MRPL20, rplT","large subunit ribosomal protein L20","0.4873","0.5756","Helicobacter pylori Cuz20"
"hpu","HPCU_00615","K01752","E4.3.1.17, sdaA, sdaB, tdcG","L-serine dehydratase","0.1877","0.2699","Helicobacter pylori Cuz20"
"hpu","HPCU_00630","K01626","E2.5.1.54, aroF, aroG, aroH","3-deoxy-7-phosphoheptulonate synthase","0.0606","0.0964","Helicobacter pylori Cuz20"
"hpu","HPCU_00670","K03575","mutY","A/G-specific adenine glycosylase","0.0000 ","0.0035","Helicobacter pylori Cuz20"
"hpu","HPCU_00675","K09477","citT","citrate:succinate antiporter","0.0000 ","0.0012","Helicobacter pylori Cuz20"
"hpu","HPCU_00680","K00404","ccoN","cytochrome c oxidase cbb3-type subunit I","0.0024","0.0119","Helicobacter pylori Cuz20"
"hpu","HPCU_00685","K00405","ccoO","cytochrome c oxidase cbb3-type subunit II","0.0026","0.0116","Helicobacter pylori Cuz20"
"hpu","HPCU_00690","K00407","ccoQ","cytochrome c oxidase cbb3-type subunit IV","0.0031","0.0292","Helicobacter pylori Cuz20"
"hpu","HPCU_00695","K00406","ccoP","cytochrome c oxidase cbb3-type subunit III","0.0026","0.0093","Helicobacter pylori Cuz20"
"hpu","HPCU_00725","K11785","mqnD","1,4-dihydroxy-6-naphthoate synthase","0.0000 ","0.0464","Helicobacter pylori Cuz20"
"hpu","HPCU_00730","K03553","recA","recombination protein RecA","0.0156","0.0636","Helicobacter pylori Cuz20"
"hpu","HPCU_00735","K01689","ENO, eno","enolase","0.4306","0.5736","Helicobacter pylori Cuz20"
"hpu","HPCU_00750","K00891","E2.7.1.71, aroK, aroL","shikimate kinase","0.1756","0.1196","Helicobacter pylori Cuz20"
"hpu","HPCU_00760","K03279","waaJ, rfaJ","UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase","0.0000 ","0.0605","Helicobacter pylori Cuz20"
"hpu","HPCU_00775","K01698","hemB, ALAD","porphobilinogen synthase","0.3579","0.2014","Helicobacter pylori Cuz20"
"hpu","HPCU_00815","K03750","moeA","molybdopterin molybdotransferase","0.0051","0.1550","Helicobacter pylori Cuz20"
"hpu","HPCU_00820","K02421","fliR","flagellar biosynthetic protein FliR","0.0000 ","0.0013","Helicobacter pylori Cuz20"
"hpu","HPCU_00840","K01624","FBA, fbaA","fructose-bisphosphate aldolase, class II","0.5327","0.3946","Helicobacter pylori Cuz20"
"hpu","HPCU_00850","K15898","pseI, neuB3","pseudaminic acid synthase","0.0000 ","0.0172","Helicobacter pylori Cuz20"
"hpu","HPCU_00875","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Helicobacter pylori Cuz20"
"hpu","HPCU_00880","K00600","glyA, SHMT","glycine hydroxymethyltransferase","0.3164","0.4597","Helicobacter pylori Cuz20"
"hpu","HPCU_00925","K00245","frdB","fumarate reductase iron-sulfur subunit","0.2589","0.2230","Helicobacter pylori Cuz20"
"hpu","HPCU_00930","K00244","frdA","fumarate reductase flavoprotein subunit","0.2589","0.1712","Helicobacter pylori Cuz20"
"hpu","HPCU_00935","K00246","frdC","fumarate reductase subunit C","0.2589","0.2178","Helicobacter pylori Cuz20"
"hpu","HPCU_00940","K01803","TPI, tpiA","triosephosphate isomerase (TIM)","0.5625","0.7010","Helicobacter pylori Cuz20"
"hpu","HPCU_00945","K00208","fabI","enoyl-[acyl-carrier protein] reductase I","0.5376","0.5020","Helicobacter pylori Cuz20"
"hpu","HPCU_00950","K02536","lpxD","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase","0.5366","0.2754","Helicobacter pylori Cuz20"
"hpu","HPCU_01070","K02316","dnaG","DNA primase","0.3877","0.2987","Helicobacter pylori Cuz20"
"hpu","HPCU_01115","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Helicobacter pylori Cuz20"
"hpu","HPCU_01120","K00940","ndk, NME","nucleoside-diphosphate kinase","0.7341","0.8327","Helicobacter pylori Cuz20"
"hpu","HPCU_01130","K02911","RP-L32, MRPL32, rpmF","large subunit ribosomal protein L32","0.2338","0.4521","Helicobacter pylori Cuz20"
"hpu","HPCU_01135","K03621","plsX","glycerol-3-phosphate acyltransferase PlsX","0.7026","0.6424","Helicobacter pylori Cuz20"
"hpu","HPCU_01140","K00648","fabH","3-oxoacyl-[acyl-carrier-protein] synthase III","0.7190","0.3716","Helicobacter pylori Cuz20"
"hpu","HPCU_01215","K03203","virB8, lvhB8","type IV secretion system protein VirB8","0.0000 ","0.0001","Helicobacter pylori Cuz20"
"hpu","HPCU_01220","K03204","virB9, lvhB9","type IV secretion system protein VirB9","0.0000 ","0.0001","Helicobacter pylori Cuz20"
"hpu","HPCU_01250","K03196","virB11, lvhB11","type IV secretion system protein VirB11","0.0000 ","0.0012","Helicobacter pylori Cuz20"
"hpu","HPCU_01270","K03205","virD4, lvhD4","type IV secretion system protein VirD4","0.0000 ","0.0001","Helicobacter pylori Cuz20"
"hpu","HPCU_01365","K01439","dapE","succinyl-diaminopimelate desuccinylase","0.3579","0.1038","Helicobacter pylori Cuz20"
"hpu","HPCU_01380","K00981","E2.7.7.41, CDS1, CDS2, cdsA","phosphatidate cytidylyltransferase","0.8212","0.9472","Helicobacter pylori Cuz20"
"hpu","HPCU_01385","K00099","dxr","1-deoxy-D-xylulose-5-phosphate reductoisomerase","0.5774","0.3985","Helicobacter pylori Cuz20"
"hpu","HPCU_01410","K04487","iscS, NFS1","cysteine desulfurase","0.4010","0.3030","Helicobacter pylori Cuz20"
"hpu","HPCU_01475","K00979","kdsB","3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)","0.4649","0.2620","Helicobacter pylori Cuz20"
"hpu","HPCU_01510","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Helicobacter pylori Cuz20"
"hpu","HPCU_01515","K01881","PARS, proS","prolyl-tRNA synthetase","0.6601","0.5571","Helicobacter pylori Cuz20"
"hpu","HPCU_01520","K02492","hemA","glutamyl-tRNA reductase","0.2206","0.1199","Helicobacter pylori Cuz20"
"hpu","HPCU_01525","K02523","ispB","octaprenyl-diphosphate synthase","0.3018","0.2081","Helicobacter pylori Cuz20"
"hpu","HPCU_01545","K07710","atoS","two-component system, NtrC family, sensor histidine kinase AtoS","0.0000 ","0.0013","Helicobacter pylori Cuz20"
"hpu","HPCU_01555","K02394","flgI","flagellar P-ring protein precursor FlgI","0.0000 ","0.0007","Helicobacter pylori Cuz20"
"hpu","HPCU_01560","K05592","deaD, cshA","ATP-dependent RNA helicase DeaD","0.0000 ","0.0313","Helicobacter pylori Cuz20"
"hpu","HPCU_01575","K13896","yejF","microcin C transport system ATP-binding protein","0.0022","0.0086","Helicobacter pylori Cuz20"
"hpu","HPCU_01580","K13895","yejE","microcin C transport system permease protein","0.0000 ","0.0053","Helicobacter pylori Cuz20"
"hpu","HPCU_01600","K01939","purA, ADSS","adenylosuccinate synthase","0.1496","0.2426","Helicobacter pylori Cuz20"
"hpu","HPCU_01615","K11749","rseP","regulator of sigma E protease","0.0563","0.0923","Helicobacter pylori Cuz20"
"hpu","HPCU_01620","K03601","xseA","exodeoxyribonuclease VII large subunit","0.0000 ","0.0099","Helicobacter pylori Cuz20"
"hpu","HPCU_01660","K01465","URA4, pyrC","dihydroorotase","0.0386","0.1747","Helicobacter pylori Cuz20"
"hpu","HPCU_01665","K20810","mqnX","aminodeoxyfutalosine deaminase","0.0000 ","0.0475","Helicobacter pylori Cuz20"
"hpu","HPCU_01710","K01609","trpC","indole-3-glycerol phosphate synthase","0.0579","0.0881","Helicobacter pylori Cuz20"
"hpu","HPCU_01720","K01524","ppx-gppA","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase","0.0111","0.0535","Helicobacter pylori Cuz20"
"hpu","HPCU_01725","K02841","waaC, rfaC","heptosyltransferase I","0.0666","0.0662","Helicobacter pylori Cuz20"
"hpu","HPCU_01730","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Helicobacter pylori Cuz20"
"hpu","HPCU_01745","K01735","aroB","3-dehydroquinate synthase","0.1039","0.1485","Helicobacter pylori Cuz20"
"hpu","HPCU_01790","K04093","pheA1","chorismate mutase","0.0722","0.0718","Helicobacter pylori Cuz20"
"hpu","HPCU_01800","K03342","pabBC","para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase","0.0000 ","0.1423","Helicobacter pylori Cuz20"
"hpu","HPCU_01805","K01426","E3.5.1.4, amiE","amidase","0.0000 ","0.0465","Helicobacter pylori Cuz20"
"hpu","HPCU_01810","K02397","flgL","flagellar hook-associated protein 3 FlgL","0.0016","0.0053","Helicobacter pylori Cuz20"
"hpu","HPCU_01815","K02888","RP-L21, MRPL21, rplU","large subunit ribosomal protein L21","0.3906","0.5424","Helicobacter pylori Cuz20"
"hpu","HPCU_01820","K02899","RP-L27, MRPL27, rpmA","large subunit ribosomal protein L27","0.3906","0.5424","Helicobacter pylori Cuz20"
"hpu","HPCU_01825","K12368","dppA","dipeptide transport system substrate-binding protein","0.0000 ","0.0027","Helicobacter pylori Cuz20"
"hpu","HPCU_01830","K12369","dppB","dipeptide transport system permease protein","0.0000 ","0.0075","Helicobacter pylori Cuz20"
"hpu","HPCU_01835","K12370","dppC","dipeptide transport system permease protein","0.0000 ","0.0075","Helicobacter pylori Cuz20"
"hpu","HPCU_01840","K12371","dppD","dipeptide transport system ATP-binding protein","0.0026","0.0072","Helicobacter pylori Cuz20"
"hpu","HPCU_01845","K12372","dppF","dipeptide transport system ATP-binding protein","0.0026","0.0072","Helicobacter pylori Cuz20"
"hpu","HPCU_01865","K01845","hemL","glutamate-1-semialdehyde 2,1-aminomutase","0.1623","0.1170","Helicobacter pylori Cuz20"
"hpu","HPCU_01920","K01887","RARS, argS","arginyl-tRNA synthetase","0.5800","0.5082","Helicobacter pylori Cuz20"
"hpu","HPCU_01925","K03116","tatA","sec-independent protein translocase protein TatA","0.0206","0.0739","Helicobacter pylori Cuz20"
"hpu","HPCU_01930","K00942","E2.7.4.8, gmk","guanylate kinase","0.8789","0.5063","Helicobacter pylori Cuz20"
"hpu","HPCU_01950","K02393","flgH","flagellar L-ring protein precursor FlgH","0.0000 ","0.0007","Helicobacter pylori Cuz20"
"hpu","HPCU_01965","K15896","pseH","UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase","0.0000 ","0.0180","Helicobacter pylori Cuz20"
"hpu","HPCU_01970","K00912","lpxK","tetraacyldisaccharide 4-kinase","0.4534","0.2386","Helicobacter pylori Cuz20"
"hpu","HPCU_01975","K01916","nadE","NAD+ synthase","0.6496","0.4952","Helicobacter pylori Cuz20"
"hpu","HPCU_01980","K00053","ilvC","ketol-acid reductoisomerase","0.0563","0.1147","Helicobacter pylori Cuz20"
"hpu","HPCU_02055","K07462","recJ","single-stranded-DNA-specific exonuclease","0.0042","0.0324","Helicobacter pylori Cuz20"
"hpu","HPCU_02060","K01937","pyrG, CTPS","CTP synthase","0.7895","0.5413","Helicobacter pylori Cuz20"
"hpu","HPCU_02070","K02409","fliF","flagellar M-ring protein FliF","0.0000 ","0.0013","Helicobacter pylori Cuz20"
"hpu","HPCU_02075","K02410","fliG","flagellar motor switch protein FliG","0.0000 ","0.0039","Helicobacter pylori Cuz20"
"hpu","HPCU_02080","K02411","fliH","flagellar assembly protein FliH","0.0000 ","0.0007","Helicobacter pylori Cuz20"
"hpu","HPCU_02085","K01662","dxs","1-deoxy-D-xylulose-5-phosphate synthase","0.6552","0.5909","Helicobacter pylori Cuz20"
"hpu","HPCU_02095","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Helicobacter pylori Cuz20"
"hpu","HPCU_02105","K02392","flgG","flagellar basal-body rod protein FlgG","0.0000 ","0.0007","Helicobacter pylori Cuz20"
"hpu","HPCU_02125","K00615","E2.2.1.1, tktA, tktB","transketolase","0.4726","0.6145","Helicobacter pylori Cuz20"
"hpu","HPCU_02130","K11753","ribF","riboflavin kinase / FMN adenylyltransferase","0.6293","0.5031","Helicobacter pylori Cuz20"
"hpu","HPCU_02145","K00609","pyrB, PYR2","aspartate carbamoyltransferase catalytic subunit","0.0526","0.2378","Helicobacter pylori Cuz20"
"hpu","HPCU_02155","K11085","msbA","ATP-binding cassette, subfamily B, bacterial MsbA","0.3149","0.0165","Helicobacter pylori Cuz20"
"hpu","HPCU_02210","K17103","CHO1, pssA","CDP-diacylglycerol---serine O-phosphatidyltransferase","0.3583","0.2425","Helicobacter pylori Cuz20"
"hpu","HPCU_02230","K03413","cheY","two-component system, chemotaxis family, response regulator CheY","0.0000 ","0.0036","Helicobacter pylori Cuz20"
"hpu","HPCU_02260","K03118","tatC","sec-independent protein translocase protein TatC","0.0584","0.1144","Helicobacter pylori Cuz20"
"hpu","HPCU_02265","K03117","tatB","sec-independent protein translocase protein TatB","0.0131","0.0739","Helicobacter pylori Cuz20"
"hpu","HPCU_02270","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Helicobacter pylori Cuz20"
"hpu","HPCU_02275","K03551","ruvB","holliday junction DNA helicase RuvB","0.0625","0.1054","Helicobacter pylori Cuz20"
"hpu","HPCU_02280","K00606","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","0.1192","0.2722","Helicobacter pylori Cuz20"
"hpu","HPCU_02310","K02535","lpxC","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase","0.4346","0.2421","Helicobacter pylori Cuz20"
"hpu","HPCU_02320","K00872","thrB1","homoserine kinase","0.0895","0.1017","Helicobacter pylori Cuz20"
"hpu","HPCU_02345","K01895","ACSS, acs","acetyl-CoA synthetase","0.0111","0.0269","Helicobacter pylori Cuz20"
"hpu","HPCU_02365","K02400","flhA","flagellar biosynthesis protein FlhA","0.0000 ","0.0007","Helicobacter pylori Cuz20"
"hpu","HPCU_02370","K02956","RP-S15, MRPS15, rpsO","small subunit ribosomal protein S15","0.2910","0.4866","Helicobacter pylori Cuz20"
"hpu","HPCU_02375","K02847","waaL, rfaL","O-antigen ligase","0.0141","0.0617","Helicobacter pylori Cuz20"
"hpu","HPCU_02380","K03786","aroQ, qutE","3-dehydroquinate dehydratase II","0.1693","0.1315","Helicobacter pylori Cuz20"
"hpu","HPCU_02390","K00950","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.4583","0.4040","Helicobacter pylori Cuz20"
"hpu","HPCU_02410","K02405","fliA","RNA polymerase sigma factor for flagellar operon FliA","0.0000 ","0.0062","Helicobacter pylori Cuz20"
"hpu","HPCU_02415","K02416","fliM","flagellar motor switch protein FliM","0.0000 ","0.0039","Helicobacter pylori Cuz20"
"hpu","HPCU_02420","K02417","fliNY, fliN","flagellar motor switch protein FliN/FliY","0.0067","0.0087","Helicobacter pylori Cuz20"
"hpu","HPCU_02460","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Helicobacter pylori Cuz20"
"hpu","HPCU_02475","K12506","ispDF","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","0.6234","0.3906","Helicobacter pylori Cuz20"
"hpu","HPCU_02480","K04771","degP, htrA","serine protease Do","0.0015","0.0052","Helicobacter pylori Cuz20"
"hpu","HPCU_02490","K00995","pgsA, PGS1","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","0.5261","0.1601","Helicobacter pylori Cuz20"
"hpu","HPCU_02500","K00076","hdhA","7-alpha-hydroxysteroid dehydrogenase","0.0000 ","0.0358","Helicobacter pylori Cuz20"
"hpu","HPCU_02505","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Helicobacter pylori Cuz20"
"hpu","HPCU_02515","K00254","DHODH, pyrD","dihydroorotate dehydrogenase","0.0463","0.1443","Helicobacter pylori Cuz20"
"hpu","HPCU_02520","K00937","ppk","polyphosphate kinase","0.0000 ","0.0000 ","Helicobacter pylori Cuz20"
"hpu","HPCU_02595","K02020","modA","molybdate transport system substrate-binding protein","0.0000 ","0.0053","Helicobacter pylori Cuz20"
"hpu","HPCU_02600","K02018","modB","molybdate transport system permease protein","0.0014","0.0066","Helicobacter pylori Cuz20"
"hpu","HPCU_02605","K02017","modC","molybdate transport system ATP-binding protein","0.0017","0.0074","Helicobacter pylori Cuz20"
"hpu","HPCU_02610","K01885","EARS, gltX","glutamyl-tRNA synthetase","0.6626","0.5645","Helicobacter pylori Cuz20"
"hpu","HPCU_02635","K06223","dam","DNA adenine methylase","0.0192","0.0218","Helicobacter pylori Cuz20"
"hpu","HPCU_02650","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Helicobacter pylori Cuz20"
"hpu","HPCU_02680","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Helicobacter pylori Cuz20"
"hpu","HPCU_02695","K01000","mraY","phospho-N-acetylmuramoyl-pentapeptide-transferase","0.6496","0.5029","Helicobacter pylori Cuz20"
"hpu","HPCU_02700","K01925","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase","0.5987","0.7314","Helicobacter pylori Cuz20"
"hpu","HPCU_02735","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Helicobacter pylori Cuz20"
"hpu","HPCU_02770","K00104","glcD","glycolate oxidase","0.0085","0.0055","Helicobacter pylori Cuz20"
"hpu","HPCU_02775","K00215","dapB","4-hydroxy-tetrahydrodipicolinate reductase","0.5376","0.5651","Helicobacter pylori Cuz20"
"hpu","HPCU_02790","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Helicobacter pylori Cuz20"
"hpu","HPCU_02805","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Helicobacter pylori Cuz20"
"hpu","HPCU_02860","K03196","virB11, lvhB11","type IV secretion system protein VirB11","0.0000 ","0.0012","Helicobacter pylori Cuz20"
"hpu","HPCU_03015","K01776","murI","glutamate racemase","0.3599","0.4250","Helicobacter pylori Cuz20"
"hpu","HPCU_03020","K03628","rho","transcription termination factor Rho","0.2427","0.1615","Helicobacter pylori Cuz20"
"hpu","HPCU_03025","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Helicobacter pylori Cuz20"
"hpu","HPCU_03055","K01962","accA","acetyl-CoA carboxylase carboxyl transferase subunit alpha","0.6626","0.6603","Helicobacter pylori Cuz20"
"hpu","HPCU_03060","K09458","fabF","3-oxoacyl-[acyl-carrier-protein] synthase II","0.7026","0.5553","Helicobacter pylori Cuz20"
"hpu","HPCU_03065","K02078","acpP","acyl carrier protein","0.4873","0.1020","Helicobacter pylori Cuz20"
"hpu","HPCU_03070","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Helicobacter pylori Cuz20"
"hpu","HPCU_03075","K02970","RP-S21, MRPS21, rpsU","small subunit ribosomal protein S21","0.2105","0.4343","Helicobacter pylori Cuz20"
"hpu","HPCU_03095","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Helicobacter pylori Cuz20"
"hpu","HPCU_03115","K01255","CARP, pepA","leucyl aminopeptidase","0.0277","0.0512","Helicobacter pylori Cuz20"
"hpu","HPCU_03125","K00759","APRT, apt","adenine phosphoribosyltransferase","0.2016","0.1143","Helicobacter pylori Cuz20"
"hpu","HPCU_03135","K01808","rpiB","ribose 5-phosphate isomerase B","0.5995","0.5491","Helicobacter pylori Cuz20"
"hpu","HPCU_03145","K03100","lepB, TPP","signal peptidase I","0.3262","0.4509","Helicobacter pylori Cuz20"
"hpu","HPCU_03150","K01491","folD","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","0.4306","0.4659","Helicobacter pylori Cuz20"
"hpu","HPCU_03170","K01465","URA4, pyrC","dihydroorotase","0.0386","0.1747","Helicobacter pylori Cuz20"
"hpu","HPCU_03185","K02417","fliNY, fliN","flagellar motor switch protein FliN/FliY","0.0067","0.0087","Helicobacter pylori Cuz20"
"hpu","HPCU_03190","K10773","NTH","endonuclease III","0.0010","0.0113","Helicobacter pylori Cuz20"
"hpu","HPCU_03215","K00176","korD, oorD","2-oxoglutarate ferredoxin oxidoreductase subunit delta","0.0206","0.2277","Helicobacter pylori Cuz20"
"hpu","HPCU_03220","K00174","korA, oorA, oforA","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha","0.7777","0.7464","Helicobacter pylori Cuz20"
"hpu","HPCU_03225","K00175","korB, oorB, oforB","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta","0.7777","0.7464","Helicobacter pylori Cuz20"
"hpu","HPCU_03230","K00177","korC, oorC","2-oxoglutarate ferredoxin oxidoreductase subunit gamma","0.0044","0.1681","Helicobacter pylori Cuz20"
"hpu","HPCU_03260","K05366","mrcA","penicillin-binding protein 1A","0.0544","0.0518","Helicobacter pylori Cuz20"
"hpu","HPCU_03265","K00652","bioF","8-amino-7-oxononanoate synthase","0.0414","0.0827","Helicobacter pylori Cuz20"
"hpu","HPCU_03290","K02406","fliC","flagellin","0.0016","0.0097","Helicobacter pylori Cuz20"
"hpu","HPCU_03305","K01599","hemE, UROD","uroporphyrinogen decarboxylase","0.4306","0.2372","Helicobacter pylori Cuz20"
