"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"fro","AALO17_00010","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Faecalibaculum rodentium"
"fro","AALO17_00020","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Faecalibaculum rodentium"
"fro","AALO17_00040","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Faecalibaculum rodentium"
"fro","AALO17_00100","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Faecalibaculum rodentium"
"fro","AALO17_00120","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Faecalibaculum rodentium"
"fro","AALO17_00130","K06187","recR","recombination protein RecR","0.0040","0.0446","Faecalibaculum rodentium"
"fro","AALO17_00170","K00858","ppnK, NADK","NAD+ kinase","0.5327","0.4578","Faecalibaculum rodentium"
"fro","AALO17_00200","K03555","mutS","DNA mismatch repair protein MutS","0.0046","0.0241","Faecalibaculum rodentium"
"fro","AALO17_00210","K03572","mutL","DNA mismatch repair protein MutL","0.0103","0.0318","Faecalibaculum rodentium"
"fro","AALO17_00270","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Faecalibaculum rodentium"
"fro","AALO17_00280","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Faecalibaculum rodentium"
"fro","AALO17_00320","K01588","purE","5-(carboxyamino)imidazole ribonucleotide mutase","0.0526","0.0937","Faecalibaculum rodentium"
"fro","AALO17_00330","K01952","purL, PFAS","phosphoribosylformylglycinamidine synthase","0.0386","0.0838","Faecalibaculum rodentium"
"fro","AALO17_00340","K00764","purF, PPAT","amidophosphoribosyltransferase","0.0184","0.1521","Faecalibaculum rodentium"
"fro","AALO17_00350","K01933","purM","phosphoribosylformylglycinamidine cyclo-ligase","0.0526","0.0937","Faecalibaculum rodentium"
"fro","AALO17_00360","K11175","purN","phosphoribosylglycinamide formyltransferase 1","0.3479","0.4101","Faecalibaculum rodentium"
"fro","AALO17_00370","K00602","purH","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase","0.3103","0.3691","Faecalibaculum rodentium"
"fro","AALO17_00470","K01176","AMY, amyA, malS","alpha-amylase","0.0085","0.0121","Faecalibaculum rodentium"
"fro","AALO17_00560","K02564","nagB, GNPDA","glucosamine-6-phosphate deaminase","0.0075","0.0248","Faecalibaculum rodentium"
"fro","AALO17_00590","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Faecalibaculum rodentium"
"fro","AALO17_00620","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Faecalibaculum rodentium"
"fro","AALO17_00680","K01945","purD","phosphoribosylamine--glycine ligase","0.0268","0.0743","Faecalibaculum rodentium"
"fro","AALO17_00690","K01938","fhs","formate--tetrahydrofolate ligase","0.3722","0.4160","Faecalibaculum rodentium"
"fro","AALO17_00730","K00764","purF, PPAT","amidophosphoribosyltransferase","0.0184","0.1521","Faecalibaculum rodentium"
"fro","AALO17_00770","K00128","ALDH","aldehyde dehydrogenase (NAD+)","0.0018","0.0086","Faecalibaculum rodentium"
"fro","AALO17_00800","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Faecalibaculum rodentium"
