"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bmj","BMULJ_00001","K06048","ybdK","carboxylate-amine ligase","0.0000 ","0.0063","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00007","K02453","gspD","general secretion pathway protein D","0.0000 ","0.0005","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00008","K02454","gspE","general secretion pathway protein E","0.0000 ","0.0010","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00009","K02455","gspF","general secretion pathway protein F","0.0000 ","0.0009","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00010","K02452","gspC","general secretion pathway protein C","0.0000 ","0.0005","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00011","K02456","gspG","general secretion pathway protein G","0.0000 ","0.0007","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00012","K02457","gspH","general secretion pathway protein H","0.0029","0.0007","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00013","K02458","gspI","general secretion pathway protein I","0.0000 ","0.0007","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00014","K02459","gspJ","general secretion pathway protein J","0.0000 ","0.0007","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00015","K02460","gspK","general secretion pathway protein K","0.0000 ","0.0005","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00016","K02461","gspL","general secretion pathway protein L","0.0024","0.0036","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00017","K02462","gspM","general secretion pathway protein M","0.0000 ","0.0005","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00027","K02416","fliM","flagellar motor switch protein FliM","0.0000 ","0.0039","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00028","K02417","fliNY, fliN","flagellar motor switch protein FliN/FliY","0.0067","0.0087","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00029","K02418","fliOZ, fliO","flagellar protein FliO/FliZ","0.0021","0.0042","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00030","K02419","fliP","flagellar biosynthetic protein FliP","0.0000 ","0.0007","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00031","K02420","fliQ","flagellar biosynthetic protein FliQ","0.0000 ","0.0013","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00032","K02421","fliR","flagellar biosynthetic protein FliR","0.0000 ","0.0013","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00037","K07649","tctE","two-component system, OmpR family, sensor histidine kinase TctE","0.0000 ","0.0013","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00040","K07687","rcsB","two-component system, NarL family, captular synthesis response regulator RcsB","0.0000 ","0.0010","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00051","K14237","tRNA-Val","tRNA Val","0.0060","0.2024","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00065","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00069","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00070","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00071","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00074","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00080","K00657","speG, SAT","diamine N-acetyltransferase","0.0022","0.0046","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00085","K01247","alkA","DNA-3-methyladenine glycosylase II","0.0000 ","0.0035","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00086","K01919","gshA","glutamate--cysteine ligase","0.0526","0.0617","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00091","K03430","phnW","2-aminoethylphosphonate-pyruvate transaminase","0.0035","0.0013","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00092","K02011","afuB, fbpB","iron(III) transport system permease protein","0.0098","0.0095","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00093","K02010","afuC, fbpC","iron(III) transport system ATP-binding protein","0.0026","0.0068","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00094","K02012","afuA, fbpA","iron(III) transport system substrate-binding protein","0.0080","0.0073","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00095","K19670","phnA","phosphonoacetate hydrolase","0.0000 ","0.0002","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00098","K14229","tRNA-Lys","tRNA Lys","0.0060","0.2024","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00101","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00107","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00114","K14231","tRNA-Phe","tRNA Phe","0.0000 ","0.2024","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00115","K06920","queC","7-cyano-7-deazaguanine synthase","0.0000 ","0.1423","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00116","K10026","queE","7-carboxy-7-deazaguanine synthase","0.0013","0.1471","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00117","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00118","K01630","garL","2-dehydro-3-deoxyglucarate aldolase","0.0000 ","0.0000 ","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00121","K05515","mrdA","penicillin-binding protein 2","0.2106","0.0687","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00125","K02435","gatC, GATC","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C","0.4842","0.3799","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00126","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00127","K02434","gatB, PET112","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B","0.5916","0.4150","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00129","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00133","K08218","ampG","MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG","0.0000 ","0.0004","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00135","K00641","metX","homoserine O-acetyltransferase","0.0342","0.0381","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00139","K00930","argB","acetylglutamate kinase","0.0463","0.0630","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00141","K15011","regB, regS, actS","two-component system, sensor histidine kinase RegB","0.0000 ","0.0013","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00142","K15012","regA, regR, actR","two-component system, response regulator RegA","0.0000 ","0.0007","Burkholderia multivorans ATCC 17616 (Tohoku)"
"bmj","BMULJ_00152","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Burkholderia multivorans ATCC 17616 (Tohoku)"
