"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"rsw","MC3_00015","K09691","ABC-2.LPSE.A","lipopolysaccharide transport system ATP-binding protein","0.0000 ","0.0071","Rickettsia slovaca D-CWPP"
"rsw","MC3_00020","K09690","ABC-2.LPSE.P","lipopolysaccharide transport system permease protein","0.0000 ","0.0060","Rickettsia slovaca D-CWPP"
"rsw","MC3_00040","K00677","lpxA","UDP-N-acetylglucosamine acyltransferase","0.4842","0.3084","Rickettsia slovaca D-CWPP"
"rsw","MC3_00045","K02372","fabZ","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","0.5987","0.6766","Rickettsia slovaca D-CWPP"
"rsw","MC3_00050","K02536","lpxD","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase","0.5366","0.2754","Rickettsia slovaca D-CWPP"
"rsw","MC3_00105","K09815","znuA","zinc transport system substrate-binding protein","0.0064","0.0067","Rickettsia slovaca D-CWPP"
"rsw","MC3_00110","K00970","pcnB","poly(A) polymerase","0.0234","0.1016","Rickettsia slovaca D-CWPP"
"rsw","MC3_00170","K02109","ATPF0B, atpF","F-type H+-transporting ATPase subunit b","0.2660","0.3800","Rickettsia slovaca D-CWPP"
"rsw","MC3_00175","K02109","ATPF0B, atpF","F-type H+-transporting ATPase subunit b","0.2660","0.3800","Rickettsia slovaca D-CWPP"
"rsw","MC3_00180","K02110","ATPF0C, atpE","F-type H+-transporting ATPase subunit c","0.2416","0.2823","Rickettsia slovaca D-CWPP"
"rsw","MC3_00190","K02108","ATPF0A, atpB","F-type H+-transporting ATPase subunit a","0.3003","0.3956","Rickettsia slovaca D-CWPP"
"rsw","MC3_00225","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Rickettsia slovaca D-CWPP"
"rsw","MC3_00235","K00287","folA","dihydrofolate reductase","0.7829","0.7222","Rickettsia slovaca D-CWPP"
"rsw","MC3_00370","K00507","SCD, desC","stearoyl-CoA desaturase (Delta-9 desaturase)","0.0141","0.0094","Rickettsia slovaca D-CWPP"
"rsw","MC3_00385","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Rickettsia slovaca D-CWPP"
"rsw","MC3_00390","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Rickettsia slovaca D-CWPP"
"rsw","MC3_00395","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Rickettsia slovaca D-CWPP"
"rsw","MC3_00410","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Rickettsia slovaca D-CWPP"
"rsw","MC3_00420","K00240","sdhB, frdB","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","0.2338","0.2373","Rickettsia slovaca D-CWPP"
"rsw","MC3_00450","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Rickettsia slovaca D-CWPP"
"rsw","MC3_00455","K00995","pgsA, PGS1","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","0.5261","0.1601","Rickettsia slovaca D-CWPP"
"rsw","MC3_00510","K00940","ndk, NME","nucleoside-diphosphate kinase","0.7341","0.8327","Rickettsia slovaca D-CWPP"
"rsw","MC3_00545","K01627","kdsA","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)","0.2898","0.2015","Rickettsia slovaca D-CWPP"
"rsw","MC3_00580","K01129","dgt","dGTPase","0.0000 ","0.0331","Rickettsia slovaca D-CWPP"
"rsw","MC3_00585","K01887","RARS, argS","arginyl-tRNA synthetase","0.5800","0.5082","Rickettsia slovaca D-CWPP"
"rsw","MC3_00610","K01494","dcd","dCTP deaminase","0.3149","0.2584","Rickettsia slovaca D-CWPP"
"rsw","MC3_00615","K03071","secB","preprotein translocase subunit SecB","0.0016","0.2412","Rickettsia slovaca D-CWPP"
"rsw","MC3_00620","K13584","ctrA","two-component system, cell cycle response regulator CtrA","0.0716","0.0469","Rickettsia slovaca D-CWPP"
"rsw","MC3_00625","K06879","queF","7-cyano-7-deazaguanine reductase","0.0085","0.1498","Rickettsia slovaca D-CWPP"
"rsw","MC3_00635","K00325","pntB","NAD(P) transhydrogenase subunit beta","0.4010","0.3698","Rickettsia slovaca D-CWPP"
"rsw","MC3_00665","K03075","secG","preprotein translocase subunit SecG","0.0644","0.3115","Rickettsia slovaca D-CWPP"
"rsw","MC3_00675","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Rickettsia slovaca D-CWPP"
"rsw","MC3_00680","K02967","RP-S2, MRPS2, rpsB","small subunit ribosomal protein S2","0.4440","0.5564","Rickettsia slovaca D-CWPP"
"rsw","MC3_00700","K02527","kdtA, waaA","3-deoxy-D-manno-octulosonic-acid transferase","0.5052","0.2548","Rickettsia slovaca D-CWPP"
"rsw","MC3_00710","K00812","aspB","aspartate aminotransferase","0.2316","0.1300","Rickettsia slovaca D-CWPP"
"rsw","MC3_00730","K07323","mlaC","phospholipid transport system substrate-binding protein","0.0000 ","0.0053","Rickettsia slovaca D-CWPP"
"rsw","MC3_00735","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Rickettsia slovaca D-CWPP"
"rsw","MC3_00750","K01775","alr","alanine racemase","0.3752","0.4780","Rickettsia slovaca D-CWPP"
"rsw","MC3_00755","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Rickettsia slovaca D-CWPP"
"rsw","MC3_00760","K02065","mlaF, linL, mkl","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein","0.0012","0.0117","Rickettsia slovaca D-CWPP"
"rsw","MC3_00800","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Rickettsia slovaca D-CWPP"
"rsw","MC3_00805","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Rickettsia slovaca D-CWPP"
"rsw","MC3_00815","K00930","argB","acetylglutamate kinase","0.0463","0.0630","Rickettsia slovaca D-CWPP"
"rsw","MC3_00820","K03198","virB3, lvhB3","type IV secretion system protein VirB3","0.0000 ","0.0001","Rickettsia slovaca D-CWPP"
"rsw","MC3_00825","K03199","virB4, lvhB4","type IV secretion system protein VirB4","0.0000 ","0.0001","Rickettsia slovaca D-CWPP"
"rsw","MC3_00830","K03201","virB6, lvhB6","type IV secretion system protein VirB6","0.0000 ","0.0001","Rickettsia slovaca D-CWPP"
"rsw","MC3_00835","K03201","virB6, lvhB6","type IV secretion system protein VirB6","0.0000 ","0.0001","Rickettsia slovaca D-CWPP"
"rsw","MC3_00840","K03201","virB6, lvhB6","type IV secretion system protein VirB6","0.0000 ","0.0001","Rickettsia slovaca D-CWPP"
"rsw","MC3_00845","K03201","virB6, lvhB6","type IV secretion system protein VirB6","0.0000 ","0.0001","Rickettsia slovaca D-CWPP"
"rsw","MC3_00850","K03201","virB6, lvhB6","type IV secretion system protein VirB6","0.0000 ","0.0001","Rickettsia slovaca D-CWPP"
"rsw","MC3_00890","K02884","RP-L19, MRPL19, rplS","large subunit ribosomal protein L19","0.3906","0.5424","Rickettsia slovaca D-CWPP"
"rsw","MC3_00900","K03074","secF","preprotein translocase subunit SecF","0.2743","0.1805","Rickettsia slovaca D-CWPP"
"rsw","MC3_00905","K00335","nuoF","NADH-quinone oxidoreductase subunit F","0.0980","0.0425","Rickettsia slovaca D-CWPP"
"rsw","MC3_00910","K03100","lepB, TPP","signal peptidase I","0.3262","0.4509","Rickettsia slovaca D-CWPP"
"rsw","MC3_00925","K01159","ruvC","crossover junction endodeoxyribonuclease RuvC","0.0198","0.0563","Rickettsia slovaca D-CWPP"
"rsw","MC3_00965","K04771","degP, htrA","serine protease Do","0.0015","0.0052","Rickettsia slovaca D-CWPP"
"rsw","MC3_00975","K00241","sdhC, frdC","succinate dehydrogenase / fumarate reductase, cytochrome b subunit","0.2684","0.2467","Rickettsia slovaca D-CWPP"
"rsw","MC3_00985","K00242","sdhD, frdD","succinate dehydrogenase / fumarate reductase, membrane anchor subunit","0.2867","0.2319","Rickettsia slovaca D-CWPP"
"rsw","MC3_00990","K00239","sdhA, frdA","succinate dehydrogenase / fumarate reductase, flavoprotein subunit","0.2684","0.2219","Rickettsia slovaca D-CWPP"
"rsw","MC3_01000","K02950","RP-S12, MRPS12, rpsL","small subunit ribosomal protein S12","0.5625","0.6211","Rickettsia slovaca D-CWPP"
"rsw","MC3_01005","K02992","RP-S7, MRPS7, rpsG","small subunit ribosomal protein S7","0.7119","0.6883","Rickettsia slovaca D-CWPP"
"rsw","MC3_01015","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Rickettsia slovaca D-CWPP"
"rsw","MC3_01025","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Rickettsia slovaca D-CWPP"
"rsw","MC3_01030","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Rickettsia slovaca D-CWPP"
"rsw","MC3_01035","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Rickettsia slovaca D-CWPP"
"rsw","MC3_01040","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Rickettsia slovaca D-CWPP"
"rsw","MC3_01045","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Rickettsia slovaca D-CWPP"
"rsw","MC3_01050","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Rickettsia slovaca D-CWPP"
"rsw","MC3_01060","K01255","CARP, pepA","leucyl aminopeptidase","0.0277","0.0512","Rickettsia slovaca D-CWPP"
"rsw","MC3_01075","K01876","DARS, aspS","aspartyl-tRNA synthetase","0.6601","0.5571","Rickettsia slovaca D-CWPP"
"rsw","MC3_01090","K00215","dapB","4-hydroxy-tetrahydrodipicolinate reductase","0.5376","0.5651","Rickettsia slovaca D-CWPP"
"rsw","MC3_01105","K02434","gatB, PET112","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B","0.5916","0.4150","Rickettsia slovaca D-CWPP"
"rsw","MC3_01110","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Rickettsia slovaca D-CWPP"
"rsw","MC3_01115","K02435","gatC, GATC","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C","0.4842","0.3799","Rickettsia slovaca D-CWPP"
"rsw","MC3_01135","K09903","pyrH","uridylate kinase","0.8789","0.5971","Rickettsia slovaca D-CWPP"
"rsw","MC3_01175","K11749","rseP","regulator of sigma E protease","0.0563","0.0923","Rickettsia slovaca D-CWPP"
"rsw","MC3_01230","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Rickettsia slovaca D-CWPP"
"rsw","MC3_01235","K03106","SRP54, ffh","signal recognition particle subunit SRP54","0.5327","0.5766","Rickettsia slovaca D-CWPP"
"rsw","MC3_01315","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Rickettsia slovaca D-CWPP"
"rsw","MC3_01320","K00658","DLST, sucB","2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)","0.3018","0.2626","Rickettsia slovaca D-CWPP"
"rsw","MC3_01325","K00164","OGDH, sucA","2-oxoglutarate dehydrogenase E1 component","0.2472","0.1717","Rickettsia slovaca D-CWPP"
"rsw","MC3_01360","K04043","dnaK","molecular chaperone DnaK","0.3525","0.3257","Rickettsia slovaca D-CWPP"
"rsw","MC3_01385","K02340","DPO3D1, holA","DNA polymerase III subunit delta","0.9384","0.9971","Rickettsia slovaca D-CWPP"
"rsw","MC3_01390","K06134","COQ7","ubiquinone biosynthesis monooxygenase Coq7","0.3615","0.1344","Rickettsia slovaca D-CWPP"
"rsw","MC3_01395","K02276","coxC","cytochrome c oxidase subunit III","0.0000 ","0.0169","Rickettsia slovaca D-CWPP"
"rsw","MC3_01410","K00674","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","0.3434","0.1480","Rickettsia slovaca D-CWPP"
"rsw","MC3_01430","K05367","pbpC","penicillin-binding protein 1C","0.0000 ","0.0175","Rickettsia slovaca D-CWPP"
"rsw","MC3_01510","K03470","rnhB","ribonuclease HII","0.0093","0.1015","Rickettsia slovaca D-CWPP"
"rsw","MC3_01515","K03702","uvrB","excinuclease ABC subunit B","0.0041","0.0270","Rickettsia slovaca D-CWPP"
"rsw","MC3_01585","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Rickettsia slovaca D-CWPP"
"rsw","MC3_01645","K00425","cydA","cytochrome d ubiquinol oxidase subunit I","0.0184","0.0390","Rickettsia slovaca D-CWPP"
"rsw","MC3_01650","K00426","cydB","cytochrome d ubiquinol oxidase subunit II","0.0046","0.0231","Rickettsia slovaca D-CWPP"
"rsw","MC3_01675","K01923","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","0.0544","0.0920","Rickettsia slovaca D-CWPP"
"rsw","MC3_01685","K01868","TARS, thrS","threonyl-tRNA synthetase","0.6103","0.5347","Rickettsia slovaca D-CWPP"
"rsw","MC3_01755","K12340","tolC","outer membrane protein","0.0000 ","3.47E-","Rickettsia slovaca D-CWPP"
"rsw","MC3_01785","K07716","pleC","two-component system, cell cycle sensor histidine kinase PleC","0.0051","0.0454","Rickettsia slovaca D-CWPP"
"rsw","MC3_01810","K02871","RP-L13, MRPL13, rplM","large subunit ribosomal protein L13","0.7119","0.6883","Rickettsia slovaca D-CWPP"
"rsw","MC3_01815","K02996","RP-S9, MRPS9, rpsI","small subunit ribosomal protein S9","0.5166","0.6003","Rickettsia slovaca D-CWPP"
"rsw","MC3_01820","K08641","vanX","zinc D-Ala-D-Ala dipeptidase","0.0000 ","0.0000 ","Rickettsia slovaca D-CWPP"
"rsw","MC3_01835","K01724","PCBD, phhB","4a-hydroxytetrahydrobiopterin dehydratase","0.0024","0.0094","Rickettsia slovaca D-CWPP"
"rsw","MC3_01850","K08311","nudH","putative (di)nucleoside polyphosphate hydrolase","0.0058","0.0317","Rickettsia slovaca D-CWPP"
"rsw","MC3_01855","K02488","pleD","two-component system, cell cycle response regulator","0.0000 ","0.0448","Rickettsia slovaca D-CWPP"
"rsw","MC3_01865","K01092","E3.1.3.25, IMPA, suhB","myo-inositol-1(or 4)-monophosphatase","0.1110","0.1479","Rickettsia slovaca D-CWPP"
"rsw","MC3_01875","K01613","psd, PISD","phosphatidylserine decarboxylase","0.2176","0.1484","Rickettsia slovaca D-CWPP"
"rsw","MC3_01880","K17103","CHO1, pssA","CDP-diacylglycerol---serine O-phosphatidyltransferase","0.3583","0.2425","Rickettsia slovaca D-CWPP"
"rsw","MC3_01910","K01924","murC","UDP-N-acetylmuramate--alanine ligase","0.8149","0.6201","Rickettsia slovaca D-CWPP"
"rsw","MC3_01915","K00075","murB","UDP-N-acetylmuramate dehydrogenase","0.7026","0.7608","Rickettsia slovaca D-CWPP"
"rsw","MC3_01920","K01921","ddl","D-alanine-D-alanine ligase","0.5987","0.5198","Rickettsia slovaca D-CWPP"
"rsw","MC3_01940","K08738","CYC","cytochrome c","0.0029","0.0053","Rickettsia slovaca D-CWPP"
"rsw","MC3_01950","K02535","lpxC","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase","0.4346","0.2421","Rickettsia slovaca D-CWPP"
"rsw","MC3_01960","K08300","rne","ribonuclease E","0.0750","0.0549","Rickettsia slovaca D-CWPP"
