"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pfae","AJGP001_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Planococcus faecalis"
"pfae","AJGP001_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Planococcus faecalis"
"pfae","AJGP001_00020","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Planococcus faecalis"
"pfae","AJGP001_00055","K00088","IMPDH, guaB","IMP dehydrogenase","0.3003","0.3932","Planococcus faecalis"
"pfae","AJGP001_00060","K07258","dacC, dacA, dacD","serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)","0.0012","0.0145","Planococcus faecalis"
"pfae","AJGP001_00070","K06215","pdxS, pdx1","pyridoxal 5-phosphate synthase pdxS subunit","0.0000 ","0.0470","Planococcus faecalis"
"pfae","AJGP001_00075","K08681","pdxT, pdx2","5-phosphate synthase pdxT subunit","0.0000 ","0.0470","Planococcus faecalis"
"pfae","AJGP001_00080","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Planococcus faecalis"
"pfae","AJGP001_00100","K15518","dgk","deoxyguanosine kinase","0.0631","0.0455","Planococcus faecalis"
"pfae","AJGP001_00105","K15519","dck","deoxyadenosine/deoxycytidine kinase","0.0882","0.2496","Planococcus faecalis"
"pfae","AJGP001_00120","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Planococcus faecalis"
"pfae","AJGP001_00130","K06187","recR","recombination protein RecR","0.0040","0.0446","Planococcus faecalis"
"pfae","AJGP001_00155","K01524","ppx-gppA","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase","0.0111","0.0535","Planococcus faecalis"
"pfae","AJGP001_00160","K00937","ppk","polyphosphate kinase","0.0000 ","0.0000 ","Planococcus faecalis"
"pfae","AJGP001_00165","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Planococcus faecalis"
"pfae","AJGP001_00175","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Planococcus faecalis"
"pfae","AJGP001_00210","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Planococcus faecalis"
"pfae","AJGP001_00240","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Planococcus faecalis"
"pfae","AJGP001_00260","K04042","glmU","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","0.5073","0.2081","Planococcus faecalis"
"pfae","AJGP001_00265","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Planococcus faecalis"
"pfae","AJGP001_00270","K02897","RP-L25, rplY","large subunit ribosomal protein L25","0.0966","0.3652","Planococcus faecalis"
"pfae","AJGP001_00280","K03723","mfd","transcription-repair coupling factor (superfamily II helicase)","0.0010","0.0189","Planococcus faecalis"
"pfae","AJGP001_00300","K00611","OTC, argF, argI","ornithine carbamoyltransferase","0.0206","0.0571","Planococcus faecalis"
"pfae","AJGP001_00305","K01955","carB, CPA2","carbamoyl-phosphate synthase large subunit","0.4583","0.4389","Planococcus faecalis"
"pfae","AJGP001_00310","K01956","carA, CPA1","carbamoyl-phosphate synthase small subunit","0.4583","0.4389","Planococcus faecalis"
"pfae","AJGP001_00335","K00760","hprT, hpt, HPRT1","hypoxanthine phosphoribosyltransferase","0.1815","0.3313","Planococcus faecalis"
"pfae","AJGP001_00345","K03525","coaX","type III pantothenate kinase","0.4954","0.4088","Planococcus faecalis"
"pfae","AJGP001_00360","K01738","cysK","cysteine synthase A","0.0899","0.1017","Planococcus faecalis"
"pfae","AJGP001_00365","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Planococcus faecalis"
"pfae","AJGP001_00370","K01633","folB","dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase","0.4583","0.2731","Planococcus faecalis"
"pfae","AJGP001_00375","K00950","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.4583","0.4040","Planococcus faecalis"
"pfae","AJGP001_00380","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Planococcus faecalis"
"pfae","AJGP001_00415","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Planococcus faecalis"
"pfae","AJGP001_00435","K14232","tRNA-Pro","tRNA Pro","0.0000 ","0.2024","Planococcus faecalis"
"pfae","AJGP001_00450","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Planococcus faecalis"
"pfae","AJGP001_00505","K00991","ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","0.5995","0.2651","Planococcus faecalis"
"pfae","AJGP001_00510","K01770","ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","0.5916","0.3681","Planococcus faecalis"
"pfae","AJGP001_00515","K09698","gltX","nondiscriminating glutamyl-tRNA synthetase","0.7777","0.4463","Planococcus faecalis"
"pfae","AJGP001_00520","K00640","cysE","serine O-acetyltransferase","0.0386","0.0820","Planococcus faecalis"
"pfae","AJGP001_00525","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Planococcus faecalis"
"pfae","AJGP001_00550","K02913","RP-L33, MRPL33, rpmG","large subunit ribosomal protein L33","0.0687","0.3611","Planococcus faecalis"
"pfae","AJGP001_00555","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Planococcus faecalis"
"pfae","AJGP001_00565","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Planococcus faecalis"
"pfae","AJGP001_00570","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Planococcus faecalis"
"pfae","AJGP001_00575","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Planococcus faecalis"
"pfae","AJGP001_00580","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Planococcus faecalis"
"pfae","AJGP001_00590","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Planococcus faecalis"
"pfae","AJGP001_00595","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Planococcus faecalis"
"pfae","AJGP001_00600","K07590","RP-L7A, rplGB","large subunit ribosomal protein L7A","0.0000 ","0.2901","Planococcus faecalis"
"pfae","AJGP001_00605","K02950","RP-S12, MRPS12, rpsL","small subunit ribosomal protein S12","0.5625","0.6211","Planococcus faecalis"
"pfae","AJGP001_00610","K02992","RP-S7, MRPS7, rpsG","small subunit ribosomal protein S7","0.7119","0.6883","Planococcus faecalis"
"pfae","AJGP001_00625","K00826","E2.6.1.42, ilvE","branched-chain amino acid aminotransferase","0.0166","0.0653","Planococcus faecalis"
"pfae","AJGP001_00630","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Planococcus faecalis"
"pfae","AJGP001_00635","K01653","E2.2.1.6S, ilvH, ilvN","acetolactate synthase I/III small subunit","0.0190","0.0562","Planococcus faecalis"
"pfae","AJGP001_00640","K00053","ilvC","ketol-acid reductoisomerase","0.0563","0.1147","Planococcus faecalis"
"pfae","AJGP001_00645","K01649","leuA, IMS","2-isopropylmalate synthase","0.0107","0.0293","Planococcus faecalis"
"pfae","AJGP001_00650","K00052","leuB, IMDH","3-isopropylmalate dehydrogenase","0.0322","0.0634","Planococcus faecalis"
"pfae","AJGP001_00655","K01703","leuC, IPMI-L","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","0.0463","0.0763","Planococcus faecalis"
"pfae","AJGP001_00660","K01704","leuD, IPMI-S","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","0.0482","0.0748","Planococcus faecalis"
"pfae","AJGP001_00670","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Planococcus faecalis"
