"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"hbo","Hbor_00010","K04801","rfcS","replication factor C small subunit","0.0000 ","0.5772","Halogeometricum borinquense"
"hbo","Hbor_00020","K01613","psd, PISD","phosphatidylserine decarboxylase","0.2176","0.1484","Halogeometricum borinquense"
"hbo","Hbor_00070","K03120","TBP, tbp","transcription initiation factor TFIID TATA-box-binding protein","0.0000 ","0.0203","Halogeometricum borinquense"
"hbo","Hbor_00100","K00765","hisG","ATP phosphoribosyltransferase","0.0606","0.0888","Halogeometricum borinquense"
"hbo","Hbor_00120","K12960","mtaD","5-methylthioadenosine/S-adenosylhomocysteine deaminase","0.0000 ","0.0141","Halogeometricum borinquense"
"hbo","Hbor_00130","K01251","E3.3.1.1, ahcY","adenosylhomocysteinase","0.0534","0.0351","Halogeometricum borinquense"
"hbo","Hbor_00230","K18882","priL, pri2, priB","DNA primase large subunit","0.0000 ","0.4564","Halogeometricum borinquense"
"hbo","Hbor_00260","K04802","PCNA","proliferating cell nuclear antigen","0.0000 ","0.4731","Halogeometricum borinquense"
"hbo","Hbor_00390","K03118","tatC","sec-independent protein translocase protein TatC","0.0584","0.1144","Halogeometricum borinquense"
"hbo","Hbor_00400","K03118","tatC","sec-independent protein translocase protein TatC","0.0584","0.1144","Halogeometricum borinquense"
"hbo","Hbor_00420","K07456","mutS2","DNA mismatch repair protein MutS2","0.0000 ","0.0099","Halogeometricum borinquense"
"hbo","Hbor_00450","K01807","rpiA","ribose 5-phosphate isomerase A","0.6496","0.7260","Halogeometricum borinquense"
"hbo","Hbor_00500","K03787","surE","5-nucleotidase","0.0584","0.0906","Halogeometricum borinquense"
"hbo","Hbor_00560","K03154","thiS","sulfur carrier protein","0.0551","0.0894","Halogeometricum borinquense"
"hbo","Hbor_00570","K04801","rfcS","replication factor C small subunit","0.0000 ","0.5772","Halogeometricum borinquense"
"hbo","Hbor_00600","K01872","AARS, alaS","alanyl-tRNA synthetase","0.6601","0.5571","Halogeometricum borinquense"
"hbo","Hbor_00630","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Halogeometricum borinquense"
"hbo","Hbor_00660","K03594","bfr","bacterioferritin","0.0000 ","0.0280","Halogeometricum borinquense"
"hbo","Hbor_00680","K16783","bioN","biotin transport system permease protein","0.0000 ","0.0102","Halogeometricum borinquense"
"hbo","Hbor_00690","K16784","bioM","biotin transport system ATP-binding protein","0.0000 ","0.0143","Halogeometricum borinquense"
"hbo","Hbor_00700","K03523","bioY","biotin transport system substrate-specific component","0.0035","0.0073","Halogeometricum borinquense"
"hbo","Hbor_00720","K10726","mcm, cdc21","replicative DNA helicase Mcm","0.0000 ","0.0772","Halogeometricum borinquense"
"hbo","Hbor_00780","K03124","TFIIB, GTF2B, SUA7, tfb","transcription initiation factor TFIIB","0.0000 ","","Halogeometricum borinquense"
"hbo","Hbor_00850","K01866","YARS, tyrS","tyrosyl-tRNA synthetase","0.6601","0.5571","Halogeometricum borinquense"
"hbo","Hbor_00930","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Halogeometricum borinquense"
"hbo","Hbor_01000","K03106","SRP54, ffh","signal recognition particle subunit SRP54","0.5327","0.5766","Halogeometricum borinquense"
"hbo","Hbor_01030","K03110","ftsY","fused signal recognition particle receptor","0.6601","0.5766","Halogeometricum borinquense"
"hbo","Hbor_01050","K02944","RP-LX, rplX","large subunit ribosomal protein LX","0.0000 ","0.2901","Halogeometricum borinquense"
"hbo","Hbor_01070","K02910","RP-L31e, RPL31","large subunit ribosomal protein L31e","0.0000 ","0.2901","Halogeometricum borinquense"
"hbo","Hbor_01080","K02924","RP-L39e, RPL39","large subunit ribosomal protein L39e","0.0000 ","0.2901","Halogeometricum borinquense"
"hbo","Hbor_01140","K11717","sufS","cysteine desulfurase / selenocysteine lyase","0.2588","0.0692","Halogeometricum borinquense"
"hbo","Hbor_01350","K01698","hemB, ALAD","porphobilinogen synthase","0.3579","0.2014","Halogeometricum borinquense"
